11/26/2017,8000,4000,4000,4000
11/27/2017,8350,6800,1550,6800
11/28/2017,4900,3000,1900,3000
11/29/2017,6650,4500,2150,6500
11/30/2017,10705,8700,2005,8700
12/1/2017,8000,6000,2000,6000
12/2/2017,7400,5500,1900,5000
12/3/2017,9000,4000,5000,4000
12/4/2017,11000,8000,3000,8000
12/5/2017,7800,3500,4300,3500
12/6/2017,11700,9000,2700,8500
12/7/2017,6700,5700,1000,5700
12/8/2017,11300,7000,4300,5000
